source_file,station_name,year,event_id,rising_time,rising_value(ML/day),peak_time,peak_value(ML/day),recession_time,recession_value(ML/day),n_points,duration_days
D:\workroom\GPLW\makeUP\downloaded_stations_data\003303A_Barcoo_River_at_Blackall\003303A_Barcoo_River_at_Blackall_003303A_daily_ts.csv,Barcoo River at Blackall 003303A,1969,Barcoo River at Blackall 003303A_1969_1,1969-10-27 00:00:00.000000000,0.0,1969-12-26 00:00:00.000000000,354.67016309235004,1969-12-31 00:00:00.000000000,11.1455422749846,66,66
D:\workroom\GPLW\makeUP\downloaded_stations_data\003303A_Barcoo_River_at_Blackall\003303A_Barcoo_River_at_Blackall_003303A_daily_ts.csv,Barcoo River at Blackall 003303A,1970,Barcoo River at Blackall 003303A_1970_2,1970-03-13 00:00:00.000000000,0.1727991050390956,1970-03-17 00:00:00.000000000,12256.726919983235,1970-04-10 00:00:00.000000000,0.1727991050390956,29,29
D:\workroom\GPLW\makeUP\downloaded_stations_data\003303A_Barcoo_River_at_Blackall\003303A_Barcoo_River_at_Blackall_003303A_daily_ts.csv,Barcoo River at Blackall 003303A,1971,Barcoo River at Blackall 003303A_1971_3,1971-01-31 00:00:00.000000000,174.1814978792602,1971-02-02 00:00:00.000000000,2884.9674581737017,1971-02-06 00:00:00.000000000,176.85988400707882,7,7
D:\workroom\GPLW\makeUP\downloaded_stations_data\003303A_Barcoo_River_at_Blackall\003303A_Barcoo_River_at_Blackall_003303A_daily_ts.csv,Barcoo River at Blackall 003303A,1972,Barcoo River at Blackall 003303A_1972_4,1972-11-23 00:00:00.000000000,5.356772256205015,1972-11-28 00:00:00.000000000,3750.258976659731,1972-12-24 00:00:00.000000000,5.615970913759024,32,32
D:\workroom\GPLW\makeUP\downloaded_stations_data\003303A_Barcoo_River_at_Blackall\003303A_Barcoo_River_at_Blackall_003303A_daily_ts.csv,Barcoo River at Blackall 003303A,1973,Barcoo River at Blackall 003303A_1973_5,1973-02-17 00:00:00.000000000,592.2689325187896,1973-02-19 00:00:00.000000000,9665.4315408192,1973-02-24 00:00:00.000000000,632.3583248905103,8,8
D:\workroom\GPLW\makeUP\downloaded_stations_data\003303A_Barcoo_River_at_Blackall\003303A_Barcoo_River_at_Blackall_003303A_daily_ts.csv,Barcoo River at Blackall 003303A,1974,Barcoo River at Blackall 003303A_1974_6,1974-01-07 00:00:00.000000000,685.3212505845252,1974-01-12 00:00:00.000000000,5393.924063784435,1974-01-19 00:00:00.000000000,689.4684291073355,13,13
D:\workroom\GPLW\makeUP\downloaded_stations_data\003303A_Barcoo_River_at_Blackall\003303A_Barcoo_River_at_Blackall_003303A_daily_ts.csv,Barcoo River at Blackall 003303A,1975,Barcoo River at Blackall 003303A_1975_7,1975-01-01 00:00:00.000000000,6.739165096496928,1975-01-06 00:00:00.000000000,1079.2168105177009,1975-01-21 00:00:00.000000000,5.702370466280889,21,21
D:\workroom\GPLW\makeUP\downloaded_stations_data\003303A_Barcoo_River_at_Blackall\003303A_Barcoo_River_at_Blackall_003303A_daily_ts.csv,Barcoo River at Blackall 003303A,1976,Barcoo River at Blackall 003303A_1976_8,1976-01-11 00:00:00.000000000,8.72635480446506,1976-01-16 00:00:00.000000000,2456.1664790194222,1976-02-27 00:00:00.000000000,6.220767781377323,48,48
D:\workroom\GPLW\makeUP\downloaded_stations_data\003303A_Barcoo_River_at_Blackall\003303A_Barcoo_River_at_Blackall_003303A_daily_ts.csv,Barcoo River at Blackall 003303A,1977,Barcoo River at Blackall 003303A_1977_9,1977-03-02 00:00:00.000000000,0.0,1977-03-13 00:00:00.000000000,4394.108442033529,1977-05-02 00:00:00.000000000,0.0,62,62
D:\workroom\GPLW\makeUP\downloaded_stations_data\003303A_Barcoo_River_at_Blackall\003303A_Barcoo_River_at_Blackall_003303A_daily_ts.csv,Barcoo River at Blackall 003303A,1978,Barcoo River at Blackall 003303A_1978_10,1978-07-09 00:00:00.000000000,0.0,1978-07-13 00:00:00.000000000,16140.732403913818,1978-11-22 00:00:00.000000000,0.0,137,137
