station_name,river_name,area,Slope_Trend_MK,Intercept_Trend_MK,annual_precip_mm,precip_zone_3_200_400_800
HENDAL BRIDGE,ERIDGE STREAM,53.70000076,Decreasing,Increasing*,794.0,sub_humid_400_800
"NASIJARVI, TAMMERKOSKI",KOKEMAENJOKI,7672.0,Increasing*,Increasing,612.0,sub_humid_400_800
"NEAR MONROE, MICH.",RIVER RAISIN,2698.800049,Increasing,Increasing,857.0,humid_gt800
NEAR BRACKENDALE,SQUAMISH RIVER,2330.0,Increasing,Increasing,1893.0,humid_gt800
"UNADILLA, NY",SUSQUEHANNA RIVER,2543.399902,Increasing,Decreasing,1087.0,humid_gt800
KLEIN BENGERSTORF,SCHAALE,608.0,Decreasing,Decreasing,664.0,sub_humid_400_800
MANNDALEN BRU,MANNDALSELVA,200.4799957,Increasing,Decreasing,591.0,sub_humid_400_800
CALGARY,BOW RIVER,7860.0,Increasing,Decreasing,427.0,sub_humid_400_800
DRAWINY,DRAWA,3281.060059,Increasing,Decreasing,561.0,sub_humid_400_800
"CASTLE ROCK, WA",COWLITZ RIVER,5796.399902,Increasing,Decreasing*,1475.0,humid_gt800
"NEAR LILY, CO",LITTLE SNAKE RIVER,9660.700195,Increasing,Decreasing,293.0,dry_arid_semiarid_lt400
NEAR UPPER MARGAREE,MARGAREE RIVER,357.0,Increasing,Increasing,1441.0,humid_gt800
TEISNACH,SCHWARZER REGEN,627.0999756,Decreasing,Increasing*,1104.0,humid_gt800
"SCOTIA, CALIF.",EEL RIVER,8062.700195,Increasing,Decreasing*,1721.0,humid_gt800
"NEAR BERNARDO, NM",RIO PUERCO,19036.5,Increasing*,Decreasing*,228.0,dry_arid_semiarid_lt400
VAKKOLA,PORVOONJOKI,1128.0,Decreasing*,Decreasing,670.0,sub_humid_400_800
NEAR MARWAYNE,VERMILION RIVER,7270.0,Increasing,Decreasing,396.0,dry_arid_semiarid_lt400
MUKWE (64932102),OKAVANGO RIVER,206000.0,Increasing,Decreasing,556.0,sub_humid_400_800
BARRHEAD,PADDLE RIVER,2380.0,Increasing,Decreasing,493.0,sub_humid_400_800
"STANLEY, ID",VALLEY CREEK,380.730011,Decreasing*,Increasing,443.0,sub_humid_400_800
JUNKERDALSELV,SALTELVA,422.0,Increasing,Increasing,696.0,sub_humid_400_800
BOOS,NAHE,2832.0,Increasing,Decreasing,582.0,sub_humid_400_800
NESMER,OSLAVA,478.8280029,Decreasing,Increasing,547.0,sub_humid_400_800
HOGFOSS,HOBOLELVA,297.0,Decreasing,Increasing*,792.0,sub_humid_400_800
NEUBERG AN DER MUERZ,MURZ,229.3999939,Decreasing,Increasing,1101.0,humid_gt800
"RICHMOND, TEX.",BRAZOS RIVER,116827.1016,Increasing,Decreasing,1116.0,humid_gt800
ABOVE CANYON CREEK,PEEL RIVER,25700.0,Increasing,Decreasing,336.0,dry_arid_semiarid_lt400
NEAR HARDISTY,IRON CREEK,3500.0,Increasing*,Decreasing*,409.0,sub_humid_400_800
TEPLICE,BECVA,1275.319946,Increasing,Increasing,691.0,sub_humid_400_800
FRIDINGEN,BARA,134.0,Increasing,Decreasing,866.0,humid_gt800
SILJAN,OSTERDALALVEN,12270.59961,Increasing,Increasing,648.0,sub_humid_400_800
"NEAR MISSOULA, MT",BITTERROOT RIVER,7288.299805,Decreasing,Increasing,343.0,dry_arid_semiarid_lt400
"AUBURN, NE",LITTLE NEMAHA RIVER,2051.300049,Increasing*,Increasing,836.0,humid_gt800
KUZNICA SKAKAWSKA,NIESOB,243.0099945,Increasing,Decreasing,573.0,sub_humid_400_800
DRYDEN,WABIGOON RIVER,2300.0,Increasing,Increasing,700.0,sub_humid_400_800
"PALMDALE, FLA.",FISHEATING CREEK,805.5,Decreasing,Decreasing,1224.0,humid_gt800
"LONDON MILLS, IL",SPOON RIVER,2776.5,Increasing*,Increasing,935.0,humid_gt800
HEISEL,OTRA,3689.0,Increasing*,Decreasing*,1651.0,humid_gt800
"NEAR ORA, IN",TIPPECANOE RIVER,2217.0,Increasing,Increasing,956.0,humid_gt800
UPPER CROSSING,LIARD RIVER,33400.0,Decreasing,Increasing,417.0,sub_humid_400_800
"NEAR CONESVILLE, IA",CEDAR RIVER,20168.30078,Increasing,Increasing,923.0,humid_gt800
